ID_MUNICIP,code_muni,ID_ESTADO
120001,1200013,12
110001,1100015,11
110002,1100023,11
140002,1400027,14
130002,1300029,13
110003,1100031,11
430003,4300034,43
110004,1100049,11
140005,1400050,14
520005,5200050,52
420005,4200051,42
220005,2200053,22
120005,1200054,12
260005,2600054,26
160005,1600055,16
210005,2100055,21
110005,1100056,11
430005,4300059,43
130006,1300060,13
110006,1100064,11
110007,1100072,11
110008,1100080,11
130008,1300086,13
110009,1100098,11
140010,1400100,14
280010,2800100,28
330010,3300100,33
520010,5200100,52
230010,2300101,23
420010,4200101,42
130010,1300102,13
270010,2700102,27
320010,3200102,32
510010,5100102,51
220010,2200103,22
410010,4100103,41
120010,1200104,12
260010,2600104,26
310010,3100104,31
160010,1600105,16
210010,2100105,21
350010,3500105,35
110010,1100106,11
250010,2500106,25
150010,1500107,15
290010,2900108,29
530010,5300108,53
240010,2400109,24
430010,4300109,43
110011,1100114,11
110012,1100122,11
110013,1100130,11
150013,1500131,15
520013,5200134,52
320013,3200136,32
120013,1200138,12
130014,1300144,13
110014,1100148,11
230015,2300150,23
160015,1600154,16
210015,2100154,21
110015,1100155,11
140015,1400159,14
330015,3300159,33
520015,5200159,52
320016,3200169,32
140017,1400175,14
520017,5200175,52
120017,1200179,12
110018,1100189,11
230020,2300200,23
420020,4200200,42
130020,1300201,13
270020,2700201,27
320020,3200201,32
510020,5100201,51
220020,2200202,22
410020,4100202,41
120020,1200203,12
260020,2600203,26
310020,3100203,31
500020,5000203,50
160020,1600204,16
210020,2100204,21
350020,3500204,35
110020,1100205,11
250020,2500205,25
150020,1500206,15
290020,2900207,29
240020,2400208,24
430020,4300208,43
140020,1400209,14
280020,2800209,28
330020,3300209,33
520020,5200209,52
160021,1600212,16
330022,3300225,33
140023,1400233,14
330023,3300233,33
160023,1600238,16
510025,5100250,51
170025,1700251,17
220025,2200251,22
120025,1200252,12
500025,5000252,50
160025,1600253,16
110025,1100254,11
330025,3300258,33
520025,5200258,52
110026,1100262,11
220027,2200277,22
160027,1600279,16
140028,1400282,14
110028,1100288,11
110029,1100296,11
130030,1300300,13
270030,2700300,27
320030,3200300,32
510030,5100300,51
170030,1700301,17
220030,2200301,22
410030,4100301,41
120030,1200302,12
260030,2600302,26
310030,3100302,31
160030,1600303,16
210030,2100303,21
350030,3500303,35
110030,1100304,11
250030,2500304,25
150030,1500305,15
290030,2900306,29
240030,2400307,24
430030,4300307,43
140030,1400308,14
280030,2800308,28
330030,3300308,33
520030,5200308,52
230030,2300309,23
420030,4200309,42
110032,1100320,11
120032,1200328,12
120033,1200336,12
110033,1100338,11
120034,1200344,12
110034,1100346,11
150034,1500347,15
170035,1700350,17
120035,1200351,12
290035,2900355,29
320035,3200359,32
510035,5100359,51
110037,1100379,11
120038,1200385,12
120039,1200393,12
170040,1700400,17
220040,2200400,22
410040,4100400,41
120040,1200401,12
260040,2600401,26
310040,3100401,31
160040,1600402,16
210040,2100402,21
350040,3500402,35
110040,1100403,11
250040,2500403,25
150040,1500404,15
290040,2900405,29
240040,2400406,24
430040,4300406,43
140040,1400407,14
280040,2800407,28
330040,3300407,33
230040,2300408,23
420040,4200408,42
130040,1300409,13
270040,2700409,27
320040,3200409,32
510040,5100409,51
120042,1200427,12
120043,1200435,12
210043,2100436,21
120045,1200450,12
110045,1100452,11
430045,4300455,43
140045,1400456,14
330045,3300456,33
220045,2200459,22
410045,4100459,41
430047,4300471,43
140047,1400472,14
210047,2100477,21
120050,1200500,12
260050,2600500,26
310050,3100500,31
160050,1600501,16
210050,2100501,21
350050,3500501,35
110050,1100502,11
250050,2500502,25
150050,1500503,15
290050,2900504,29
240050,2400505,24
430050,4300505,43
140050,1400506,14
280050,2800506,28
330050,3300506,33
520050,5200506,52
230050,2300507,23
420050,4200507,42
130050,1300508,13
270050,2700508,27
320050,3200508,32
510050,5100508,51
220050,2200509,22
410050,4100509,41
160053,1600535,16
250053,2500536,25
160055,1600550,16
210055,2100550,21
350055,3500550,35
430055,4300554,43
520055,5200555,52
420055,4200556,42
430057,4300570,43
250057,2500577,25
160060,1600600,16
210060,2100600,21
350060,3500600,35
110060,1100601,11
250060,2500601,25
150060,1500602,15
290060,2900603,29
240060,2400604,24
430060,4300604,43
140060,1400605,14
280060,2800605,28
330060,3300605,33
520060,5200605,52
230060,2300606,23
420060,4200606,42
130060,1300607,13
270060,2700607,27
320060,3200607,32
510060,5100607,51
220060,2200608,22
410060,4100608,41
120060,1200609,12
260060,2600609,26
310060,3100609,31
500060,5000609,50
130063,1300631,13
430063,4300638,43
430064,4300646,43
430066,4300661,43
280067,2800670,28
130068,1300680,13
110070,1100700,11
250070,2500700,25
150070,1500701,15
290070,2900702,29
240070,2400703,24
430070,4300703,43
140070,1400704,14
280070,2800704,28
330070,3300704,33
230070,2300705,23
420070,4200705,42
130070,1300706,13
270070,2700706,27
320070,3200706,32
170070,1700707,17
220070,2200707,22
410070,4100707,41
120070,1200708,12
260070,2600708,26
310070,3100708,31
500070,5000708,50
160070,1600709,16
210070,2100709,21
350070,3500709,35
250073,2500734,25
230075,2300754,23
420075,4200754,42
350075,3500758,35
250077,2500775,25
150080,1500800,15
290080,2900801,29
240080,2400802,24
430080,4300802,43
330080,3300803,33
520080,5200803,52
230080,2300804,23
420080,4200804,42
130080,1300805,13
270080,2700805,27
320080,3200805,32
510080,5100805,51
220080,2200806,22
410080,4100806,41
120080,1200807,12
260080,2600807,26
310080,3100807,31
500080,5000807,50
160080,1600808,16
210080,2100808,21
350080,3500808,35
110080,1100809,11
250080,2500809,25
520082,5200829,52
210083,2100832,21
130083,1300839,13
430085,4300851,43
520085,5200852,52
500085,5000856,50
150085,1500859,15
210087,2100873,21
430087,4300877,43
290090,2900900,29
240090,2400901,24
430090,4300901,43
330090,3300902,33
520090,5200902,52
230090,2300903,23
420090,4200903,42
130090,1300904,13
270090,2700904,27
320090,3200904,32
220090,2200905,22
410090,4100905,41
260090,2600906,26
310090,3100906,31
500090,5000906,50
210090,2100907,21
350090,3500907,35
110090,1100908,11
250090,2500908,25
150090,1500909,15
110092,1100924,11
330093,3300936,33
110094,1100940,11
330095,3300951,33
220095,2200954,22
210095,2100956,21
150095,1500958,15
230100,2301000,23
420100,4201000,42
130100,1301001,13
270100,2701001,27
320100,3201001,32
510100,5101001,51
170100,1701002,17
220100,2201002,22
410100,4101002,41
260100,2601003,26
310100,3101003,31
500100,5001003,50
210100,2101004,21
350100,3501004,35
110100,1101005,11
250100,2501005,25
150100,1501006,15
290100,2901007,29
240100,2401008,24
430100,4301008,43
280100,2801009,28
330100,3301009,33
170105,1701051,17
220105,2201051,22
410105,4101051,41
260105,2601052,26
430105,4301057,43
430107,4301073,43
130110,1301100,13
270110,2701100,27
320110,3201100,32
170110,1701101,17
220110,2201101,22
410110,4101101,41
260110,2601102,26
310110,3101102,31
500110,5001102,50
210110,2101103,21
350110,3501103,35
110110,1101104,11
250110,2501104,25
150110,1501105,15
290110,2901106,29
240110,2401107,24
430110,4301107,43
280110,2801108,28
330110,3301108,33
520110,5201108,52
230110,2301109,23
420110,4201109,42
220115,2201150,22
410115,4101150,41
350115,3501152,35
250115,2501153,25
290115,2901155,29
330115,3301157,33
130115,1301159,13
320115,3201159,32
220117,2201176,22
220120,2201200,22
410120,4101200,41
260120,2601201,26
310120,3101201,31
210120,2101202,21
350120,3501202,35
110120,1101203,11
250120,2501203,25
150120,1501204,15
290120,2901205,29
240120,2401206,24
430120,4301206,43
280120,2801207,28
330120,3301207,33
520120,5201207,52
230120,2301208,23
420120,4201208,42
130120,1301209,13
270120,2701209,27
320120,3201209,32
510120,5101209,51
500124,5001243,50
210125,2101251,21
150125,1501253,15
230125,2301257,23
420125,4201257,42
510125,5101258,51
420127,4201273,42
260130,2601300,26
310130,3101300,31
210130,2101301,21
350130,3501301,35
110130,1101302,11
250130,2501302,25
150130,1501303,15
290130,2901304,29
240130,2401305,24
430130,4301305,43
280130,2801306,28
330130,3301306,33
520130,5201306,52
230130,2301307,23
420130,4201307,42
130130,1301308,13
270130,2701308,27
320130,3201308,32
510130,5101308,51
170130,1701309,17
220130,2201309,22
410130,4101309,41
210135,2101350,21
250135,2501351,25
290135,2901353,29
270135,2701357,27
210140,2101400,21
350140,3501400,35
110140,1101401,11
250140,2501401,25
150140,1501402,15
290140,2901403,29
240140,2401404,24
430140,4301404,43
280140,2801405,28
330140,3301405,33
520140,5201405,52
230140,2301406,23
420140,4201406,42
130140,1301407,13
270140,2701407,27
320140,3201407,32
510140,5101407,51
220140,2201408,22
410140,4101408,41
260140,2601409,26
310140,3101409,31
110143,1101435,11
110145,1101450,11
150145,1501451,15
240145,2401453,24
520145,5201454,52
110146,1101468,11
110147,1101476,11
110148,1101484,11
110149,1101492,11
110150,1101500,11
250150,2501500,25
150150,1501501,15
290150,2901502,29
240150,2401503,24
430150,4301503,43
280150,2801504,28
330150,3301504,33
520150,5201504,52
230150,2301505,23
420150,4201505,42
130150,1301506,13
270150,2701506,27
320150,3201506,32
220150,2201507,22
410150,4101507,41
260150,2601508,26
310150,3101508,31
500150,5001508,50
210150,2101509,21
350150,3501509,35
250153,2501534,25
430155,4301552,43
220155,2201556,22
110155,1101559,11
220157,2201572,22
250157,2501575,25
150157,1501576,15
150160,1501600,15
290160,2901601,29
240160,2401602,24
430160,4301602,43
280160,2801603,28
330160,3301603,33
520160,5201603,52
230160,2301604,23
420160,4201604,42
130160,1301605,13
270160,2701605,27
320160,3201605,32
510160,5101605,51
220160,2201606,22
410160,4101606,41
260160,2601607,26
310160,3101607,31
210160,2101608,21
350160,3501608,35
110160,1101609,11
250160,2501609,25
310163,3101631,31
430163,4301636,43
240165,2401651,24
430165,4301651,43
420165,4201653,42
130165,1301654,13
410165,4101655,41
290170,2901700,29
240170,2401701,24
430170,4301701,43
280170,2801702,28
330170,3301702,33
520170,5201702,52
230170,2301703,23
420170,4201703,42
130170,1301704,13
270170,2701704,27
320170,3201704,32
510170,5101704,51
220170,2201705,22
410170,4101705,41
260170,2601706,26
310170,3101706,31
210170,2101707,21
350170,3501707,35
110170,1101708,11
250170,2501708,25
150170,1501709,15
150172,1501725,15
210173,2101731,21
220173,2201739,22
430175,4301750,43
110175,1101757,11
150175,1501758,15
220177,2201770,22
210177,2101772,21
150178,1501782,15
240180,2401800,24
430180,4301800,43
330180,3301801,33
520180,5201801,52
230180,2301802,23
420180,4201802,42
130180,1301803,13
270180,2701803,27
320180,3201803,32
510180,5101803,51
220180,2201804,22
410180,4101804,41
260180,2601805,26
310180,3101805,31
210180,2101806,21
350180,3501806,35
110180,1101807,11
250180,2501807,25
150180,1501808,15
290180,2901809,29
330185,3301850,33
230185,2301851,23
130185,1301852,13
510185,5101852,51
410185,4101853,41
240185,2401859,24
430185,4301859,43
430187,4301875,43
330187,3301876,33
280190,2801900,28
330190,3301900,33
230190,2301901,23
420190,4201901,42
130190,1301902,13
270190,2701902,27
320190,3201902,32
510190,5101902,51
170190,1701903,17
220190,2201903,22
410190,4101903,41
260190,2601904,26
310190,3101904,31
500190,5001904,50
210190,2101905,21
350190,3501905,35
250190,2501906,25
150190,1501907,15
290190,2901908,29
240190,2401909,24
430190,4301909,43
220191,2201919,22
430192,4301925,43
220192,2201929,22
210193,2101939,21
220194,2201945,22
230195,2301950,23
420195,4201950,42
130195,1301951,13
150195,1501956,15
290195,2901957,29
430195,4301958,43
220196,2201960,22
210197,2101970,21
220198,2201988,22
170200,1702000,17
220200,2202000,22
410200,4102000,41
260200,2602001,26
310200,3102001,31
500200,5002001,50
210200,2102002,21
350200,3502002,35
250200,2502003,25
150200,1502004,15
290200,2902005,29
240200,2402006,24
430200,4302006,43
280200,2802007,28
330200,3302007,33
230200,2302008,23
420200,4202008,42
130200,1302009,13
270200,2702009,27
320200,3202009,32
220202,2202026,22
210203,2102036,21
310205,3102050,31
250205,2502052,25
290205,2902054,29
430205,4302055,43
330205,3302056,33
230205,2302057,23
420205,4202057,42
220205,2202059,22
420207,4202073,42
220207,2202075,22
210207,2102077,21
420208,4202081,42
220208,2202083,22
220209,2202091,22
420209,4202099,42
260210,2602100,26
310210,3102100,31
500210,5002100,50
210210,2102101,21
350210,3502101,35
250210,2502102,25
150210,1502103,15
290210,2902104,29
240210,2402105,24
430210,4302105,43
280210,2802106,28
330210,3302106,33
230210,2302107,23
420210,4202107,42
130210,1302108,13
270210,2702108,27
320210,3202108,32
170210,1702109,17
220210,2202109,22
410210,4102109,41
220211,2202117,22
420213,4202131,42
220213,2202133,22
210215,2102150,21
250215,2502151,25
150215,1502152,15
430215,4302154,43
520215,5202155,52
420215,4202156,42
170215,1702158,17
500215,5002159,50
220217,2202174,22
210220,2102200,21
350220,3502200,35
250220,2502201,25
150220,1502202,15
290220,2902203,29
240220,2402204,24
430220,4302204,43
280220,2802205,28
330220,3302205,33
230220,2302206,23
420220,4202206,42
130220,1302207,13
270220,2702207,27
320220,3202207,32
170220,1702208,17
220220,2202208,22
410220,4102208,41
260220,2602209,26
310220,3102209,31
500220,5002209,50
430222,4302220,43
430223,4302238,43
220225,2202251,22
290225,2902252,29
430225,4302253,43
330225,3302254,33
320225,3202256,32
330227,3302270,33
250230,2502300,25
150230,1502301,15
290230,2902302,29
240230,2402303,24
430230,4302303,43
280230,2802304,28
330230,3302304,33
230230,2302305,23
420230,4202305,42
130230,1302306,13
270230,2702306,27
320230,3202306,32
170230,1702307,17
220230,2202307,22
410230,4102307,41
260230,2602308,26
310230,3102308,31
500230,5002308,50
210230,2102309,21
350230,3502309,35
210232,2102325,21
430235,4302352,43
520235,5202353,52
270235,2702355,27
210235,2102358,21
210237,2102374,21
430237,4302378,43
150240,1502400,15
290240,2902401,29
240240,2402402,24
430240,4302402,43
280240,2802403,28
330240,3302403,33
230240,2302404,23
420240,4202404,42
130240,1302405,13
270240,2702405,27
320240,3202405,32
170240,1702406,17
220240,2202406,22
410240,4102406,41
260240,2602407,26
310240,3102407,31
500240,5002407,50
210240,2102408,21
350240,3502408,35
250240,2502409,25
420243,4202438,42
430245,4302451,43
330245,3302452,33
420245,4202453,42
320245,3202454,32
220245,2202455,22
290250,2902500,29
240250,2402501,24
430250,4302501,43
280250,2802502,28
330250,3302502,33
520250,5202502,52
230250,2302503,23
420250,4202503,42
130250,1302504,13
270250,2702504,27
320250,3202504,32
510250,5102504,51
220250,2202505,22
410250,4102505,41
260250,2602506,26
310250,3102506,31
210250,2102507,21
350250,3502507,35
250250,2502508,25
150250,1502509,15
420253,4202537,42
220253,2202539,22
130255,1302553,13
270255,2702553,27
320255,3202553,32
170255,1702554,17
220255,2202554,22
210255,2102556,21
420257,4202578,42
430258,4302584,43
240260,2402600,24
430260,4302600,43
280260,2802601,28
330260,3302601,33
520260,5202601,52
230260,2302602,23
420260,4202602,42
130260,1302603,13
270260,2702603,27
320260,3202603,32
510260,5102603,51
220260,2202604,22
410260,4102604,41
260260,2602605,26
310260,3102605,31
500260,5002605,50
210260,2102606,21
350260,3502606,35
250260,2502607,25
150260,1502608,15
290260,2902609,29
510263,5102637,51
320265,3202652,32
220265,2202653,22
290265,2902658,29
430265,4302659,43
510267,5102678,51
510268,5102686,51
510269,5102694,51
280270,2802700,28
330270,3302700,33
230270,2302701,23
420270,4202701,42
130270,1302702,13
270270,2702702,27
320270,3202702,32
510270,5102702,51
170270,1702703,17
220270,2202703,22
410270,4102703,41
260270,2602704,26
310270,3102704,31
500270,5002704,50
210270,2102705,21
350270,3502705,35
250270,2502706,25
150270,1502707,15
290270,2902708,29
240270,2402709,24
430270,4302709,43
220271,2202711,22
220272,2202729,22
220273,2202737,22
220275,2202752,22
410275,4102752,41
210275,2102754,21
350275,3502754,35
150275,1502756,15
150276,1502764,15
150277,1502772,15
220277,2202778,22
510279,5102793,51
230280,2302800,23
420280,4202800,42
130280,1302801,13
270280,2702801,27
320280,3202801,32
220280,2202802,22
410280,4102802,41
260280,2602803,26
310280,3102803,31
500280,5002803,50
210280,2102804,21
350280,3502804,35
250280,2502805,25
150280,1502806,15
290280,2902807,29
240280,2402808,24
430280,4302808,43
280280,2802809,28
330280,3302809,33
520280,5202809,52
510285,5102850,51
220285,2202851,22
310285,3102852,31
150285,1502855,15
330285,3302858,33
420285,4202859,42
420287,4202875,42
130290,1302900,13
270290,2702900,27
320290,3202900,32
170290,1702901,17
220290,2202901,22
410290,4102901,41
260290,2602902,26
310290,3102902,31
500290,5002902,50
210290,2102903,21
350290,3502903,35
250290,2502904,25
150290,1502905,15
290290,2902906,29
240290,2402907,24
430290,4302907,43
280290,2802908,28
330290,3302908,33
230290,2302909,23
420290,4202909,42
150293,1502939,15
500295,5002951,50
150295,1502954,15
210300,2103000,21
350300,3503000,35
250300,2503001,25
150300,1503002,15
290300,2903003,29
240300,2403004,24
430300,4303004,43
280300,2803005,28
330300,3303005,33
230300,2303006,23
420300,4203006,42
130300,1303007,13
270300,2703007,27
320300,3203007,32
510300,5103007,51
170300,1703008,17
220300,2203008,22
410300,4103008,41
260300,2603009,26
310300,3103009,31
410302,4103024,41
410304,4103040,41
150304,1503044,15
320305,3203056,32
510305,5103056,51
170305,1703057,17
410305,4103057,41
170307,1703073,17
150307,1503077,15
150309,1503093,15
250310,2503100,25
150310,1503101,15
290310,2903102,29
240310,2403103,24
430310,4303103,43
280310,2803104,28
330310,3303104,33
520310,5203104,52
230310,2303105,23
420310,4203105,42
130310,1303106,13
270310,2703106,27
320310,3203106,32
510310,5103106,51
170310,1703107,17
220310,2203107,22
410310,4103107,41
260310,2603108,26
310310,3103108,31
500310,5003108,50
210310,2103109,21
350310,3503109,35
210312,2103125,21
320313,3203130,32
420315,4203154,42
410315,4103156,41
500315,5003157,50
210315,2103158,21
350315,3503158,35
320316,3203163,32
210317,2103174,21
150320,1503200,15
290320,2903201,29
240320,2403202,24
430320,4303202,43
280320,2803203,28
330320,3303203,33
520320,5203203,52
230320,2303204,23
420320,4203204,42
130320,1303205,13
270320,2703205,27
320320,3203205,32
510320,5103205,51
170320,1703206,17
220320,2203206,22
410320,4103206,41
260320,2603207,26
310320,3103207,31
500320,5003207,50
210320,2103208,21
350320,3503208,35
250320,2503209,25
410322,4103222,41
220323,2203230,22
290323,2903235,29
240325,2403251,24
420325,4203253,42
510325,5103254,51
220325,2203255,22
500325,5003256,50
210325,2103257,21
220327,2203271,22
290327,2903276,29
290330,2903300,29
240330,2403301,24
430330,4303301,43
280330,2803302,28
330330,3303302,33
520330,5203302,52
230330,2303303,23
420330,4203303,42
130330,1303304,13
270330,2703304,27
320330,3203304,32
510330,5103304,51
170330,1703305,17
220330,2203305,22
410330,4103305,41
260330,2603306,26
310330,3103306,31
500330,5003306,50
210330,2103307,21
350330,3503307,35
250330,2503308,25
150330,1503309,15
320332,3203320,32
320334,3203346,32
320335,3203353,32
510335,5103353,51
220335,2203354,22
410335,4103354,41
350335,3503356,35
510336,5103361,51
410337,4103370,41
510337,5103379,51
240340,2403400,24
430340,4303400,43
280340,2803401,28
330340,3303401,33
520340,5203401,52
230340,2303402,23
420340,4203402,42
130340,1303403,13
270340,2703403,27
320340,3203403,32
510340,5103403,51
220340,2203404,22
410340,4103404,41
260340,2603405,26
310340,3103405,31
210340,2103406,21
350340,3503406,35
250340,2503407,25
150340,1503408,15
290340,2903409,29
220342,2203420,22
510343,5103437,51
510345,5103452,51
220345,2203453,22
410345,4103453,41
260345,2603454,26
500345,5003454,50
150345,1503457,15
410347,4103479,41
500348,5003488,50
280350,2803500,28
330350,3303500,33
520350,5203500,52
230350,2303501,23
420350,4203501,42
130350,1303502,13
270350,2703502,27
320350,3203502,32
510350,5103502,51
220350,2203503,22
410350,4103503,41
260350,2603504,26
310350,3103504,31
500350,5003504,50
210350,2103505,21
350350,3503505,35
250350,2503506,25
150350,1503507,15
290350,2903508,29
240350,2403509,24
430350,4303509,43
130353,1303536,13
210355,2103554,21
250355,2503555,25
430355,4303558,43
520355,5203559,52
130356,1303569,13
520357,5203575,52
230360,2303600,23
420360,4203600,42
130360,1303601,13
270360,2703601,27
320360,3203601,32
510360,5103601,51
170360,1703602,17
220360,2203602,22
410360,4103602,41
260360,2603603,26
310360,3103603,31
210360,2103604,21
350360,3503604,35
250360,2503605,25
150360,1503606,15
290360,2903607,29
240360,2403608,24
430360,4303608,43
280360,2803609,28
330360,3303609,33
520360,5203609,52
230365,2303659,23
430367,4303673,43
130370,1303700,13
270370,2703700,27
320370,3203700,32
510370,5103700,51
170370,1703701,17
220370,2203701,22
410370,4103701,41
260370,2603702,26
310370,3103702,31
500370,5003702,50
210370,2103703,21
350370,3503703,35
250370,2503704,25
150370,1503705,15
290370,2903706,29
240370,2403707,24
430370,4303707,43
280370,2803708,28
330370,3303708,33
230370,2303709,23
420370,4203709,42
220375,2203750,22
310375,3103751,31
500375,5003751,50
210375,2103752,21
250375,2503753,25
150375,1503754,15
240375,2403756,24
270375,2703759,27
170380,1703800,17
220380,2203800,22
410380,4103800,41
260380,2603801,26
310380,3103801,31
500380,5003801,50
210380,2103802,21
350380,3503802,35
250380,2503803,25
150380,1503804,15
290380,2903805,29
240380,2403806,24
430380,4303806,43
280380,2803807,28
330380,3303807,33
520380,5203807,52
230380,2303808,23
420380,4203808,42
130380,1303809,13
270380,2703809,27
320380,3203809,32
510380,5103809,51
170382,1703826,17
170384,1703842,17
330385,3303856,33
510385,5103858,51
220385,2203859,22
170386,1703867,17
170388,1703883,17
170389,1703891,17
260390,2603900,26
310390,3103900,31
500390,5003900,50
210390,2103901,21
350390,3503901,35
250390,2503902,25
150390,1503903,15
290390,2903904,29
240390,2403905,24
430390,4303905,43
280390,2803906,28
330390,3303906,33
520390,5203906,52
230390,2303907,23
420390,4203907,42
130390,1303908,13
270390,2703908,27
320390,3203908,32
510390,5103908,51
170390,1703909,17
220390,2203909,22
410390,4103909,41
260392,2603926,26
230393,2303931,23
520393,5203939,52
350395,3503950,35
290395,2903953,29
330395,3303955,33
230395,2303956,23
420395,4203956,42
130395,1303957,13
510395,5103957,51
410395,4103958,41
520396,5203962,52
150400,1504000,15
290400,2904001,29
240400,2404002,24
430400,4304002,43
280400,2804003,28
330400,3304003,33
520400,5204003,52
230400,2304004,23
420400,4204004,42
130400,1304005,13
270400,2704005,27
320400,3204005,32
